"","TimePeriod","position","Node","Species","Life_Stage","Hydraulic","bottom_type","Type","MaxPercentage","MeanPercentage"
"1","critical","LOB","11101250","Cladophora","Adult","Depth","Soft","Low",30.9966891197625,7.86130958179969
"2","critical","LOB","11101250","Cladophora","Adult","Depth","Soft","Medium",30.9966891197625,7.86130958179969
"3","critical","LOB","11101250","Cladophora","Adult","Depth","Soft","High",30.9966891197625,7.86130958179969
"4","critical","MC","11101250","Cladophora","Adult","Depth","Soft","Low",99.9771689497717,92.9427232206575
"5","critical","MC","11101250","Cladophora","Adult","Depth","Soft","Medium",99.9771689497717,92.9427232206575
"6","critical","MC","11101250","Cladophora","Adult","Depth","Soft","High",99.9771689497717,92.9427232206575
"7","critical","ROB","11101250","Cladophora","Adult","Depth","Soft","Low",34.3646534992579,8.6610522841066
"8","critical","ROB","11101250","Cladophora","Adult","Depth","Soft","Medium",34.3646534992579,8.6610522841066
"9","critical","ROB","11101250","Cladophora","Adult","Depth","Soft","High",34.3646534992579,8.6610522841066
"10","critical","LOB","F300","Cladophora","Adult","Depth","Soft","Low",12.7625570776256,5.57000617661409
"11","critical","LOB","F300","Cladophora","Adult","Depth","Soft","Medium",12.7625570776256,5.57000617661409
"12","critical","LOB","F300","Cladophora","Adult","Depth","Soft","High",12.7625570776256,5.57000617661409
"13","critical","MC","F300","Cladophora","Adult","Depth","Soft","Low",100,97.7405674266529
"14","critical","MC","F300","Cladophora","Adult","Depth","Soft","Medium",100,97.7405674266529
"15","critical","MC","F300","Cladophora","Adult","Depth","Soft","High",100,97.7405674266529
"16","critical","ROB","F300","Cladophora","Adult","Depth","Soft","Low",12.7625570776256,5.57000617661409
"17","critical","ROB","F300","Cladophora","Adult","Depth","Soft","Medium",12.7625570776256,5.57000617661409
"18","critical","ROB","F300","Cladophora","Adult","Depth","Soft","High",12.7625570776256,5.57000617661409
"19","critical","MC","F319","Cladophora","Adult","Depth","Concrete","Low",100,99.3985273783342
"20","critical","MC","F319","Cladophora","Adult","Depth","Concrete","Medium",100,99.3985273783342
"21","critical","MC","F319","Cladophora","Adult","Depth","Concrete","High",100,99.3985273783342
"22","critical","MC","F34D","Cladophora","Adult","Depth","Concrete","Low",100,99.788114885143
"23","critical","MC","F34D","Cladophora","Adult","Depth","Concrete","Medium",100,99.788114885143
"24","critical","MC","F34D","Cladophora","Adult","Depth","Concrete","High",100,99.788114885143
"25","critical","MC","F37BHigh","Cladophora","Adult","Depth","Soft","Low",18.015755223199,11.5125777708873
"26","critical","MC","F37BHigh","Cladophora","Adult","Depth","Soft","Medium",18.015755223199,11.5125777708873
"27","critical","MC","F37BHigh","Cladophora","Adult","Depth","Soft","High",18.015755223199,11.5125777708873
"28","critical","LOB","F37BLow","Cladophora","Adult","Depth","Soft","Low",1.29010160977281,0.410672349505845
"29","critical","LOB","F37BLow","Cladophora","Adult","Depth","Soft","Medium",1.29010160977281,0.410672349505845
