"","X","Node","Metric","Species","Life_Stage","Node_Metric","No_of_Weeks","Suitable","Unsuitable","SuitabilityClass"
"1",4,"F300","MeanTemp","SAS","Fry","F300_MeanTemp",11,9.09090909090909,90.9090909090909,"Low"
"2",8,"F319","MeanTemp","SAS","Fry","F319_MeanTemp",6,0,100,"Low"
"3",12,"F34D","MeanTemp","SAS","Fry","F34D_MeanTemp",6,16.6666666666667,83.3333333333333,"Low"
"4",16,"F37B.Hard","MeanTemp","SAS","Fry","F37B.Hard_MeanTemp",15,100,0,"High"
"5",20,"F37B.Soft","MeanTemp","SAS","Fry","F37B.Soft_MeanTemp",15,100,0,"High"
"6",24,"F45B","MeanTemp","SAS","Fry","F45B_MeanTemp",19,100,0,"High"
"7",28,"F57C","MeanTemp","SAS","Fry","F57C_MeanTemp",11,27.2727272727273,72.7272727272727,"Partial"
"8",32,"GLEN","MeanTemp","SAS","Fry","GLEN_MeanTemp",11,27.2727272727273,72.7272727272727,"Partial"
"9",36,"LA_20_2","MeanTemp","SAS","Fry","LA_20_2_MeanTemp",11,0,100,"Low"
"10",40,"LA11","MeanTemp","SAS","Fry","LA11_MeanTemp",11,27.2727272727273,72.7272727272727,"Partial"
"11",44,"LA13","MeanTemp","SAS","Fry","LA13_MeanTemp",11,27.2727272727273,72.7272727272727,"Partial"
"12",48,"LA14","MeanTemp","SAS","Fry","LA14_MeanTemp",11,27.2727272727273,72.7272727272727,"Partial"
"13",52,"LA2","MeanTemp","SAS","Fry","LA2_MeanTemp",6,0,100,"Low"
"14",56,"LA20","MeanTemp","SAS","Fry","LA20_MeanTemp",11,45.4545454545455,54.5454545454545,"Partial"
"15",60,"LA3","MeanTemp","SAS","Fry","LA3_MeanTemp",6,0,100,"Low"
"16",64,"LA8","MeanTemp","SAS","Fry","LA8_MeanTemp",6,16.6666666666667,83.3333333333333,"Low"
